term	brand
year	0
large	0
Hungarian	0
amount	0
pension	0
case	0
bank	0
savings	0
loan	0
good	0
financial	0
money	0
government	0
support	0
family	0
pensioner	0
child	0
forint	0
month	0
percentage	0
significant	0
situation	0
high	0
monthly	0
life	0
care	0
pays	0
housing	0
client	0
program	0
data	0
ad	0
system	0
work	0
company	0
income	0
cost	0
child	0
health	0
account	0
state	0
reduced	0
product	0
service	0
population	0
interest	0
low	0
growth	0
hungary	0
source	0
result	0
on the rise	0
business	0
solution	0
employee	0
state	0
economic	0
survey	0
pay	0
edition	0
parent	0
decision	0
contract	0
inflation	0
home loan	0
savings	0
old	0
sick	0
impact	0
insurance	0
budget	0
insurance	0
calculates	0
online	0
affordable	0
secretary of state	0
yield	0
provides	0
hospital	0
real estate	0
problem	0
institution	0
manager	0
economy	0
action	0
investment	0
epidemic	0
buy	0
investment	0
government bonds	0
doctor	0
hungary	0
discount	0
deposit	0
income	0
household	0
world	0
home	0
term	0
health	0
shopping	0
allowance	0
family	0
material	0
young people	0
simple	0
employee	0
loan	0
national	0
crisis	0
stresses	0
digital	0
minister	0
supports	0
development	0
European	0
retail	0
requires	0
rise	0
rule	0
expert	0
free	0
spend	0
school	0
finance	0
law	0
professional	0
insurance	0
student	0
cashier	0
market	0
financial_awareness	0
notice	0
construction	0
specialist	0
voluntary	0
public_support	0
social	0
calculator	0
coronavirus	0
central bank	0
long	0
tax relief	0
company	0
person	0
employer	0
contribution	0
funding	0
moratorium	0
personal_loan	0
repayment	0
monthly_pension	0
pension premium	0
cash	0
security	0
young	0
bankmonitor	0
financial institution	0
payment	0
life insurance	0
ages	0
baby shower	0
cheap	0
reserve	0
pension insurance	0
pension scheme	0
conscious	0
generation	0
liability	0
information	0
entrepreneur	0
bond	0
medical	0
thm	0
law	0
investment	0
home savings	0
retirement age	0
public debt	0
apply	0
health insurance	0
illness	0
legal status	0
repayment	0
debt	0
brand1	1
brand2	1
brand3	1
brand4	1
brand5	1
